"STATION","NAME","DATE","TOBS"
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-10-04",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-10-05",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-10-06",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-10-07",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-10-08",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-10-09",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-10-10",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-10-11",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-10-12",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-10-13",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-10-14",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-10-15",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-10-16",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-10-17",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-10-20",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-10-21",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-10-24",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-10-25",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-10-26",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-10-27",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-10-28",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-10-29",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-10-30",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-10-31",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-11-01",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-11-02",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-11-03",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-11-04",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-11-05",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-11-06",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-11-07",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-11-08",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-11-10",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-11-11",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-11-12",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-11-13",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-11-14",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-11-15",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-11-16",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-11-17",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-11-18",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-11-19",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-11-20",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-11-21",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-11-22",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-11-23",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-11-24",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-11-25",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-11-26",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-11-27",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-11-28",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-11-29",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-12-01",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-12-02",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-12-03",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-12-04",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-12-05",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-12-06",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-12-07",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-12-08",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-12-09",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-12-10",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-12-11",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-12-12",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-12-13",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-12-14",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-12-15",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-12-16",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-12-19",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-12-20",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-12-21",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-12-22",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-12-23",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-12-24",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-12-25",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-12-26",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-12-27",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-12-29",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-12-30",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2020-12-31",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2021-01-01",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2021-01-02",
"US1WAKP0063","BREMERTON 3.9 NE, WA US","2021-01-03",
